PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
CA5400666,DEL ORO GRANDVIEW GARDENS DISTRICT,Region 9,California,Community water system,327,,Tulare,5,41,13
CA5400767,DEL ORO EAST PLANO DISTRICT,Region 9,California,Community water system,46,,Tulare,2,15,7
CA5400553,DEL ORO TRAVER DISTRICT,Region 9,California,Community water system,660,,Tulare,4,16,5
CA5410034,DEL ORO CALIFORNIA PINES DISTRICT,Region 9,California,Community water system,930,,Tulare,12,26,8
CA5400665,DEL ORO RIVER ISLAND SERV TERR #1,Region 9,California,Community water system,"1,296",,Tulare,30,78,13
CA5402048,DEL ORO RIVER ISLAND SERV TERR #2,Region 9,California,Community water system,99,,Tulare,4,49,15
CA2600727,HOT CREEK HATCHERY,Region 9,California,Transient non-community system,60,,Mono,3,1,10
CA4510013,SHASTA C.S.D.,Region 9,California,Community water system,"1,584",,Shasta,3,0,18
CA1610002,"AVENAL, CITY OF",Region 9,California,Community water system,"13,218",AVENAL,Kings,5,33,16
CA1200776,A W WAY - HUMBOLDT CO. PARKS,Region 9,California,Transient non-community system,300,,Humboldt,2,7,6
CA1200798,VAN DUZEN - HUMBOLDT CO. PARKS,Region 9,California,Transient non-community system,550,,Humboldt,3,1,5
CA1206005,BIG LAGOON - HUMBOLDT CO. PARKS,Region 9,California,Transient non-community system,300,,Humboldt,3,0,4
CA4000644,BABE RUTH'S OAK VIEW,Region 9,California,Transient non-community system,25,,San Luis Obispo,4,4,7
CA4000654,RESTHAVEN MOBILE HOME PARK,Region 9,California,Community water system,75,,San Luis Obispo,8,7,10
CA4000684,RAGGED POINT INN,Region 9,California,Non-Transient non-community system,100,,San Luis Obispo,8,24,17
CA5800827,WHISPERING PINES MOBILE HOME PARK,Region 9,California,Community water system,25,,Yuba,2,1,5
CA3105918,RIDE TO WALK,Region 9,California,Transient non-community system,80,,Placer,3,0,3
CA2400153,APOSTOLIC TABERNACLE,Region 9,California,Transient non-community system,75,,Merced,2,1,3
CA1502319,KERN CO P&R-LAKE WOOLLOMES WATER SYSTEM,Region 9,California,Transient non-community system,401,,Kern,2,8,4
CA1502325,KERN CO P&R-TEHACHAPI MT PARK WATER,Region 9,California,Transient non-community system,152,,Kern,3,22,5
CA1502317,KERN CO P&R-GREENHORN MT. PARK WATER,Region 9,California,Transient non-community system,108,,Kern,6,11,6
CA4901264,RATNA LING RETREAT,Region 9,California,Non-Transient non-community system,55,,Sonoma,13,1,2
CA2300900,LEMON'S MARKET,Region 9,California,Transient non-community system,150,,Mendocino,4,1,1
CA2300905,NAVARRO VINEYARDS,Region 9,California,Transient non-community system,110,,Mendocino,6,0,2
CA1810003,LASSEN COUNTY WATER DISTRICT #1,Region 9,California,Community water system,450,,Lassen,5,1,11
CA0900629,AMERICAN LEGION TRACT RESORT ASSOC,Region 9,California,Transient non-community system,65,,El Dorado,3,2,5
CA5800914,MARYSVILLE RACEWAY PARK,Region 9,California,Transient non-community system,"2,000",,Yuba,2,1,3
CA5800923,MARYSVILLE FLEA MARKET,Region 9,California,Transient non-community system,"3,000",,Yuba,2,0,4
CA5100143,PLEASANT GROVE ELEM. SCHOOL,Region 9,California,Non-Transient non-community system,185,,Sutter,3,9,11
CA4901356,GARY FARRELL WINERY,Region 9,California,Transient non-community system,100,,Sonoma,3,1,2
CA2400014,"TURLOCK AUCTION YARD, INC.",Region 9,California,Transient non-community system,170,,Merced,3,2,3
CA3200071,BUCKS LAKE LODGE & TIMBERLINE LODGE,Region 9,California,Transient non-community system,40,,Plumas,5,29,6
CA3200122,LAKE HAVEN RESORT,Region 9,California,Transient non-community system,50,,Plumas,3,8,6
CA1300588,IID VILLAGE,Region 9,California,Community water system,30,,Imperial,4,6,17
CA1300591,IID DROP FOUR,Region 9,California,Community water system,28,,Imperial,4,9,17
CA1300614,WIEST LAKE,Region 9,California,Transient non-community system,30,,Imperial,4,26,23
CA1300626,SUNBEAM LAKE RV RESORT,Region 9,California,Community water system,650,,Imperial,1,1,18
CA1300627,CENTER OF THE WORLD,Region 9,California,Transient non-community system,25,,Imperial,3,8,16
CA2810300,CSP - BALE GRIST MILL STATE HISTORIC PAR,Region 9,California,Transient non-community system,350,,Napa,3,2,3
CA3610005,LAKE ARROWHEAD CSD,Region 9,California,Community water system,"7,008",,San Bernardino,22,0,9
CA3610045,LACSD - RIMFOREST,Region 9,California,Community water system,820,,San Bernardino,7,3,6
CA2910011,PLAVADA COMMUNITY ASSOCIATION,Region 9,California,Community water system,359,,Nevada,17,27,7
CA2702812,"KIND REAL ESTATE, LLC WS",Region 9,California,Non-Transient non-community system,25,,Monterey,4,0,1
CA3705077,SANTA YSABEL NATURE CENTER,Region 9,California,Transient non-community system,248,SAN DIEGO,San Diego,2,0,1
CA3100019,NORTH EDEN VALLEY,Region 9,California,Community water system,52,,Placer,7,31,9
CA5000443,TRIANGLE TRUCK STOP (WATER),Region 9,California,Transient non-community system,25,,Stanislaus,3,2,15
CA2000968,FAST AND EZ TRIP,Region 9,California,Transient non-community system,300,MADERA,Madera,3,0,0
CA1510052,NORTH EDWARDS WD,Region 9,California,Community water system,944,,Kern,5,61,7
CA3601113,SS HERT TRUCKING INC,Region 9,California,Transient non-community system,25,,San Bernardino,2,0,29
CA1000129,YMCA CAMP REDWOOD,Region 9,California,Transient non-community system,180,,Fresno,6,12,4
CA1000128,YMCA CAMP TULEQUOIA/MILLWOOD,Region 9,California,Transient non-community system,140,,Fresno,2,12,6
CA1000130,YMCA CAMP SEQUOIA GAINES,Region 9,California,Transient non-community system,164,,Fresno,2,8,4
CA5210302,WM. B. IDE ADOBE,Region 9,California,Transient non-community system,28,,Tehama,4,4,9
CA1110300,IRVINE FINCH RIVER ACCESS,Region 9,California,Transient non-community system,25,,Glenn,2,3,7
CA5210301,WOODSON BRIDGE S.R.A.,Region 9,California,Transient non-community system,37,,Tehama,3,6,9
CA4510302,DP&R - MCARTHUR-BURNEY FALLS SP,Region 9,California,Transient non-community system,"1,800",,Shasta,3,1,5
CA4510303,DP&R - CASTLE CRAGS SP,Region 9,California,Transient non-community system,425,,Shasta,9,0,6
CA5610050,CALLEGUAS MUNICIPAL WATER DIST,Region 9,California,Community water system,0,,Ventura,33,1,23
CA3610023,GREEN VALLEY MWC,Region 9,California,Community water system,"1,350",,San Bernardino,51,6,5
CA1503350,TEHACHAPI VALLEY UNITED METHODIST CHURCH,Region 9,California,Transient non-community system,50,,Kern,2,3,5
CA4700549,LAKE SISKIYOU M.W.C.,Region 9,California,Community water system,240,,Siskiyou,7,17,9
CA2701888,CACHAGUA MUTUAL WS (#4),Region 9,California,Community water system,55,,Monterey,8,24,10
CA2702396,RIVER RD WS #26,Region 9,California,Transient non-community system,45,,Monterey,2,11,7
CA0900624,VILLA TAHOE CONDOMINIUMS,Region 9,California,Transient non-community system,44,,El Dorado,3,10,5
CA4000648,KEN MAR GARDENS,Region 9,California,Community water system,84,,San Luis Obispo,4,22,11
CA1910041,THREE VALLEYS MWD,Region 9,California,Community water system,0,,Los Angeles,13,3,40
CA1910167,"VERNON-CITY, WATER DEPT.",Region 9,California,Community water system,"28,000",VERNON,Los Angeles,30,3,22
CA2700686,GARLEN COURT WS,Region 9,California,Community water system,65,,Monterey,4,13,10
CA5000581,PIONEER EQUINE HOSPITAL WATER SYSTEM,Region 9,California,Non-Transient non-community system,25,,Stanislaus,3,4,4
CA5000505,COUNTRY STORE WATER SYSTEM,Region 9,California,Transient non-community system,25,,Stanislaus,3,2,10
CA1000650,ADAM'S MARKET,Region 9,California,Transient non-community system,200,,Fresno,2,0,2
CA3210004,AMERICAN VALLEY CSD,Region 9,California,Community water system,"4,300",,Plumas,20,6,25
CA4200856,SAGEBRUSH ANNIE'S RESTAURANT,Region 9,California,Transient non-community system,50,,Santa Barbara,3,4,8
CA0300032,SILVER LAKE CAMPGROUND,Region 9,California,Transient non-community system,500,,Amador,2,6,10
CA0300033,BEAR RIVER CAMP--SOUTH SHORE,Region 9,California,Transient non-community system,200,,Amador,2,4,18
CA0300034,BEAR RIVER GROUP CAMPGROUND,Region 9,California,Transient non-community system,125,,Amador,3,7,17
CA4200684,LINCOLNWOOD MUTUAL WATER COMPANY,Region 9,California,Community water system,206,,Santa Barbara,4,45,8
CA2902367,TRUCKEE RIVER RV PARK,Region 9,California,Transient non-community system,103,,Nevada,2,2,8
CA3301275,LA COCINA,Region 9,California,Transient non-community system,30,,Riverside,2,11,9
CA0500082,ANGELS CAMP RV/CAMPING RESORT,Region 9,California,Transient non-community system,228,,Calaveras,3,28,16
CA5400537,LINDYS LANDING,Region 9,California,Community water system,49,,Tulare,4,10,7
CA1000474,BEAR MOUNTAIN LIBRARY/ACT CNTR,Region 9,California,Transient non-community system,50,,Fresno,4,10,23
CA3610075,CHINO BASIN DESALTER AUTH. - DESALTER 1,Region 9,California,Community water system,0,,San Bernardino,38,0,5
CA2000825,ROLLIN WAGON TRAILER CLUB,Region 9,California,Transient non-community system,30,,Madera,11,5,8
CA1206013,ELK COUNTRY RV RESORT AND CAMPGROUND,Region 9,California,Transient non-community system,51,,Humboldt,4,2,5
CA3610004,WEST VALLEY WATER DISTRICT,Region 9,California,Community water system,"94,332",,San Bernardino,69,7,16
CA0605004,ADM RICE INC.,Region 9,California,Non-Transient non-community system,68,,Colusa,8,3,7
CA3710021,SAN DIEGUITO WD,Region 9,California,Community water system,"39,722",,San Diego,2,0,10
CA2910002,CITY OF NEVADA CITY,Region 9,California,Community water system,"3,001",NEVADA CITY,Nevada,7,2,27
CA3700047,TECATE SUPERMARKET,Region 9,California,Transient non-community system,25,,San Diego,2,5,7
CA3500927,ENZA ZADEN RESEARCH,Region 9,California,Non-Transient non-community system,65,,San Benito,4,4,3
CA4700894,DOLLAR GENERAL STORE - WEED,Region 9,California,Transient non-community system,50,WEED,Siskiyou,1,0,2
CA3610038,"RIALTO, CITY OF",Region 9,California,Community water system,"54,453",RIALTO,San Bernardino,47,3,10
CA4901269,UNITED RENTALS,Region 9,California,Transient non-community system,30,,Sonoma,4,4,2
CA5402036,R-RANCH IN THE SEQUOIAS,Region 9,California,Community water system,330,,Tulare,7,30,7
CA0710009,TOWN OF DISCOVERY BAY,Region 9,California,Community water system,"16,790",,Contra Costa,18,3,17
CA5000133,HART- RANSOM UNION SCHOOL & DISTRICT,Region 9,California,Non-Transient non-community system,650,,Stanislaus,3,10,19
CA4000707,"LONGBRANCH SALOON, THE",Region 9,California,Transient non-community system,30,,San Luis Obispo,3,18,7
CA4000809,CONGREGATION BETH DAVID,Region 9,California,Transient non-community system,25,,San Luis Obispo,4,0,4
CA2110009,SLIDE RANCH,Region 9,California,Transient non-community system,42,,Marin,3,6,6
CA1800573,RICHMOND ELEMENTARY SCHOOL,Region 9,California,Non-Transient non-community system,247,,Lassen,3,5,10
CA3600406,NEWBERRY MOUNTAIN RV & MOTEL,Region 9,California,Transient non-community system,25,,San Bernardino,2,5,25
CA1910152,"SOUTH GATE-CITY, WATER DEPT.",Region 9,California,Community water system,"76,443",SOUTH GATE,Los Angeles,32,59,37
CA4400530,LAND OF MEDICINE BUDDHA,Region 9,California,Non-Transient non-community system,89,,Santa Cruz,3,4,9
CA5800866,LAKE FRANCIS RESORT,Region 9,California,Transient non-community system,100,,Yuba,2,2,4
CA4400717,KENNOLYN CAMP,Region 9,California,Transient non-community system,213,,Santa Cruz,4,12,7
CA3610003,LIBERTY UTILITIES (AV RANCHOS) CORP.,Region 9,California,Community water system,"62,602",,San Bernardino,58,0,15
CA3610118,APPLE VALLEY RANCHOS WATER CO - YERMO,Region 9,California,Community water system,"1,033",,San Bernardino,14,52,8
CA1700580,TWIN CREEKS MOBILE AND RV VILLAGE,Region 9,California,Community water system,50,,Lake,3,28,6
CA5000141,LIBITZKY,Region 9,California,Non-Transient non-community system,125,,Stanislaus,5,5,14
CA4800753,VINEYARD RV PARK,Region 9,California,Community water system,365,,Solano,4,2,9
CA1502673,GATEWAY MARKET WATER SYSTEM,Region 9,California,Transient non-community system,154,,Kern,2,1,3
CA4210001,CARPINTERIA VALLEY WATER DISTRICT,Region 9,California,Community water system,"15,346",,Santa Barbara,22,3,22
CA1000483,RIVER RANCH RAISINS,Region 9,California,Transient non-community system,40,,Fresno,3,42,4
CA2400169,E & J GALLO WINERY,Region 9,California,Non-Transient non-community system,251,,Merced,17,3,5
CA4510800,CAL FIRE - SUGAR PINE CONSERVATION CAMP,Region 9,California,Non-Transient non-community system,120,,Shasta,3,7,6
CA1300572,VALLEY MOBILE HOME PARK,Region 9,California,Community water system,70,,Imperial,4,44,23
CA1500564,HOMETOWN WATER ASSOCIATION,Region 9,California,Community water system,25,,Kern,2,11,5
CA2000558,COARSEGOLD MARKET,Region 9,California,Non-Transient non-community system,115,,Madera,19,2,9
CA2000508,CALVIN CREST CONFERENCE CENTER,Region 9,California,Transient non-community system,200,,Madera,25,1,8
CA2701214,FIRESTONE BUSINESS PARK WS,Region 9,California,Non-Transient non-community system,154,,Monterey,6,8,11
CA2701151,GREEN VALLEY FLORAL-POTTER RD WS,Region 9,California,Non-Transient non-community system,25,,Monterey,4,17,12
CA2700236,GREEN VALLEY FLORAL-OSR WS,Region 9,California,Non-Transient non-community system,40,,Monterey,3,0,1
CA2701364,PEDRAZZI MWC,Region 9,California,Community water system,273,,Monterey,5,23,10
CA2701959,TIERRA VISTA MWC,Region 9,California,Community water system,54,,Monterey,5,35,14
CA2701676,SAN LUCAS WD,Region 9,California,Community water system,315,,Monterey,10,22,12
CA2702209,BIG SUR BAZAAR WS,Region 9,California,Transient non-community system,103,,Monterey,4,15,7
CA5400884,ROCKFORD SCHOOL,Region 9,California,Non-Transient non-community system,285,,Tulare,5,10,6
CA5400604,MOUNTAIN VIEW DUPLEXES,Region 9,California,Community water system,103,,Tulare,5,8,9
CA4000817,EAST AIRPORT FIERO LANE WATER COMPANY,Region 9,California,Non-Transient non-community system,50,,San Luis Obispo,7,0,2
CA1910242,CALIFORNIA WATER SERVICE CO-LAKE HUGHES,Region 9,California,Community water system,952,,Los Angeles,10,0,24
CA1910243,CALIFORNIA WATER SERVICE CO-LEONA VALLEY,Region 9,California,Community water system,900,,Los Angeles,12,1,21
CA3910001,CALIFORNIA WATER SERVICE - STOCKTON,Region 9,California,Community water system,"173,272",,San Joaquin,164,0,24
CA1010052,SIERRA CEDARS CSD,Region 9,California,Community water system,850,,Fresno,11,14,5
CA5510007,DEL ORO WATER COMPANY - STRAWBERRY DIV.,Region 9,California,Community water system,"1,283",,Tuolumne,4,26,16
CA1000057,DEL ORO WATER CO - METROPOLITAN DISTRICT,Region 9,California,Community water system,96,,Fresno,2,16,6
CA3310031,"RIVERSIDE, CITY OF",Region 9,California,Community water system,"312,045",RIVERSIDE,Riverside,180,1,62
CA4900536,OCCIDENTAL COMMUNITY SERVICES DISTRICT,Region 9,California,Community water system,383,,Sonoma,6,15,4
CA1910033,CALIFORNIA WATER SERVICE CO. - DOMINGUEZ,Region 9,California,Community water system,"143,227",,Los Angeles,63,7,48
CA1910047,HAWTHORNE-CITY WATER DEPT.,Region 9,California,Community water system,"44,690",HAWTHORNE,Los Angeles,8,3,36
CA1110002,CAL-WATER SERVICE CO.-HAMILTON CITY,Region 9,California,Community water system,"2,607",HAMILTON CITY,Glenn,7,0,19
