"","PWS.ID","PWS.Name.x","Counties.Served.x","PWS.Type.2015","PWS.Name.y","PWS.Type","Counties.Served.y"
"122","CA3400287","CORDOVA SHOOTING CENTER","Sacramento","Transient non-community system",NA,NA,NA
"123","CA0202567","SAND FLAT # 6","Alpine","Transient non-community system",NA,NA,NA
"124","CA5400600","GOLDEN KEY APARTMENTS","Tulare","Community water system",NA,NA,NA
"125","CA5100176","CALVARY CHRISTIAN CENTER","Sutter","Non-Transient non-community system",NA,NA,NA
"126","CA1000356","JACK S BAYOU RESORT","Fresno","Transient non-community system",NA,NA,NA
"127","CA1000505","RAY & LARRY MOLES (HENDERSON RD)","Fresno","Transient non-community system",NA,NA,NA
"128","CA1000452","RAY MOLES FARMS (MARKS AVE)","Fresno","Transient non-community system",NA,NA,NA
"129","CA1009281","HAMMONDS RANCH","Fresno","Community water system",NA,NA,NA
"130","CA0900548","MARK TWAIN MOTEL","El Dorado","Transient non-community system",NA,NA,NA
"131","CA0900636","TRUCKEE CREEK COTTAGES","El Dorado","Transient non-community system",NA,NA,NA
"132","CA3000852","RANCHO MISSION VIEJO","Orange","Community water system",NA,NA,NA
"133","CA4901198","SONOMA DEVELOPMENTAL CENTER-CAMP VIA","Sonoma","Transient non-community system",NA,NA,NA
"134","CA4910202","SONOMA DEVELOPMENTAL CENTER","Sonoma","Community water system",NA,NA,NA
"135","CA1503212","DWR - EDMONSTON PUMPING PLANT","Kern","Non-Transient non-community system",NA,NA,NA
"136","CA5500136","BERKELEY CAMP","Tuolumne","Transient non-community system",NA,NA,NA
"137","CA1200711","YELLOW ROSE","Humboldt","Transient non-community system",NA,NA,NA
"138","CA1000285","WASHINGTON COLONY SCHOOL","Fresno","Non-Transient non-community system",NA,NA,NA
"139","CA4300827","COYOTE STAGE STOP","Santa Clara","Transient non-community system",NA,NA,NA
"140","CA4300504","ARROWHEAD COOPERATIVE COMPANY","Santa Clara","Community water system",NA,NA,NA
"141","CA3400426","COZY VILLA MHP [SWS]","Sacramento","Transient non-community system",NA,NA,NA
"142","CA1000248","DOUBLE L MOBILE RANCH PARK","Fresno","Community water system",NA,NA,NA
"143","CA0300046","DEER RIDGE INN","Amador","Transient non-community system",NA,NA,NA
"144","CA5200609","MOOSE LODGE","Tehama","Transient non-community system",NA,NA,NA
"145","CA1100208","RIVER GLENN","Glenn","Transient non-community system",NA,NA,NA
"146","CA3500565","FAIRVIEW CHILD DEVELOPMENT CENTER","San Benito","Non-Transient non-community system",NA,NA,NA
"147","CA3600125","HINKLEY ELEMENTARY SCHOOL","San Bernardino","Non-Transient non-community system",NA,NA,NA
"148","CA3600577","IRON HOG RESTAURANT & SALOON","San Bernardino","Transient non-community system",NA,NA,NA
"149","CA1000595","LA KEBRADA RESTAURANT","Fresno","Transient non-community system",NA,NA,NA
"150","CA0600061","OLAM SPICES AND VEGETABLE INGREDIENTS","Colusa","Non-Transient non-community system",NA,NA,NA
"151","CA5301022","TRINITY RIVER HATCHERY","Trinity","Transient non-community system",NA,NA,NA
"152","CA2400076","HOPETON SCHOOL","Merced","Non-Transient non-community system",NA,NA,NA
"153","CA5200656","NORCAL NURSERY INC","Tehama","Transient non-community system",NA,NA,NA
"154","CA5201137","MILLSTREAM MOBILE HOME PARK","Tehama","Community water system",NA,NA,NA
"155","CA5400611","PORTERVILLE TRAILER PARK","Tulare","Community water system",NA,NA,NA
"156","CA4000641","CREEKSIDE COMMERCIAL CENTER","San Luis Obispo","Non-Transient non-community system",NA,NA,NA
"157","CA4901387","SONOMA CUTRER","Sonoma","Non-Transient non-community system",NA,NA,NA
"158","CA5100109","WILDEWOOD MUTUAL WATER CO., INC.","Sutter","Community water system",NA,NA,NA
"159","CA1502307","CAMP CONDOR","Kern","Non-Transient non-community system",NA,NA,NA
"160","CA5105009","SIKH TEMPLE GURDWARA","Sutter","Transient non-community system",NA,NA,NA
"161","CA1502273","SUN WORLD INTERNATIONAL, INC.-COM CENTER","Kern","Non-Transient non-community system",NA,NA,NA
"162","CA0400025","SUNDOWN MOBILE HOME PARK","Butte","Community water system",NA,NA,NA
