Vetted_address,PWSID,geometry,GEOID,NAME,Race.estimate.total,B02001_001M,Race.white.alone,B02001_002M,Race.black.alone,B02001_003M,Race.native.alone,B02001_004M,Race.asian.alone,B02001_005M,Race.PI.alone,B02001_006M,Race.someother.alone,B02001_007M,Race.twoplus,B02001_008M,Median.hh.income,B19013_001M,Tenure.estimate.total,B25003_001M,Tenure.owner,B25003_002M,Tenure.renter,B25003_003M
11255 LOMPICO ROAD FELTON CA 95018,CA4410015,"c(-122.0479872, 37.1111704)",06087120600,"Census Tract 1206, Santa Cruz County, California",4506,471,3974,443,72,71,0,13,71,44,0,13,135,69,254,174,104052,16323,1812,180,1408,161,404,133
15611 Rock Creek Road SHASTA CA 96087,CA4500001,"c(-122.4811771, 40.6172324)",06089012400,"Census Tract 124, Shasta County, California",3859,475,3502,438,3,4,92,61,36,35,8,16,14,19,204,90,64408,8706,1448,116,1233,120,215,66
44304 A St McArthur CA 96056,CA4500084,"c(-121.3969339, 41.051744)",06089012702,"Census Tract 127.02, Shasta County, California",2461,468,2013,417,9,13,77,98,55,66,0,13,49,61,258,198,50292,9827,1058,214,754,188,304,118
21375 MAIN STREET LAKEHEAD CA 96051,CA4500136,"c(-122.3830404, 40.9062012)",06089012500,"Census Tract 125, Shasta County, California",1531,243,1382,243,10,11,21,19,55,75,0,13,8,7,55,42,49196,12000,731,117,587,113,144,58
2543 CORDELIA RD FAIRFIELD CA 94534-1676,CA4810037,"c(-122.1063135, 38.231285)",06095252305,"Census Tract 2523.05, Solano County, California",5574,622,3240,551,401,123,9,11,1228,350,0,19,341,169,355,198,110068,8140,1938,184,1239,174,699,147
433 Fulton Road SANTA ROSA CA 95401,CA4900676,"c(-122.7710645, 38.4438594)",06097153005,"Census Tract 1530.05, Sonoma County, California",7111,926,5179,695,6,9,0,19,332,131,21,50,949,790,624,285,115330,17777,2375,188,1864,194,511,183
3455 Santa Rosa Avenue SANTA ROSA CA 95407,CA4900786,"c(-122.7149279, 38.3934868)",06097151405,"Census Tract 1514.05, Sonoma County, California",6646,1013,3263,874,409,269,30,50,446,245,2,6,2237,764,259,153,49094,10518,2211,296,977,226,1234,297
3521 Santa Rosa Avenue SANTA ROSA CA 95407,CA4900855,"c(-122.714586, 38.3908595)",06097151405,"Census Tract 1514.05, Sonoma County, California",6646,1013,3263,874,409,269,30,50,446,245,2,6,2237,764,259,153,49094,10518,2211,296,977,226,1234,297
385 Mark West Springs Road SANTA ROSA CA 95404,CA4900890,"c(-122.740282, 38.5021167)",06097152702,"Census Tract 1527.02, Sonoma County, California",4994,771,3563,667,74,43,13,22,186,131,0,13,595,274,563,245,89572,9217,1637,201,864,170,773,120
9580 Sonoma Highway KENWOOD CA 95452,CA4900922,"c(-122.5462232, 38.4140472)",06097150501,"Census Tract 1505.01, Sonoma County, California",2962,929,2745,930,6,14,37,29,105,82,0,13,31,24,38,43,136048,66127,1309,442,1027,420,282,160
3200 Moorland Avenue SANTA ROSA CA 95407,CA4901195,"c(-122.7171449, 38.4002592)",06097153202,"Census Tract 1532.02, Sonoma County, California",4649,817,2228,909,50,90,0,13,36,53,0,13,1527,688,808,774,73250,35081,1408,231,531,167,877,272
5901 Old Redwood Highway SANTA ROSA CA 95403,CA4901311,"c(-122.7782516, 38.5236908)",06097152701,"Census Tract 1527.01, Sonoma County, California",4895,721,3652,640,0,13,32,48,75,72,23,36,708,379,405,243,79052,9935,1815,210,1323,225,492,146
4401 Slusser Road WINDSOR CA 95492,CA4901387,"c(-122.8326455, 38.4988928)",06097153810,"Census Tract 1538.10, Sonoma County, California",3750,410,2906,375,17,29,170,188,88,82,0,13,418,329,151,89,139196,10904,1141,131,766,122,375,135
2455 Frates Road PETALUMA CA 94972,CA4901389,"c(-122.5805514, 38.2500735)",06097150611,"Census Tract 1506.11, Sonoma County, California",4338,706,3364,689,72,78,36,56,191,92,0,13,475,264,200,107,97768,11983,1421,174,858,101,563,184
1078 S Wright Rd. Santa Rosa 95407,CA4901410,"c(-122.7686613, 38.4200192)",06097153301,"Census Tract 1533.01, Sonoma County, California",6834,906,3690,1006,105,79,24,41,331,273,11,23,2191,767,482,322,88818,19536,2054,230,1314,251,740,189
1589 Hampton Way SANTA ROSA CA 95407,CA4901439,"c(-122.7375913, 38.4288492)",06097153104,"Census Tract 1531.04, Sonoma County, California",3666,595,1371,307,31,35,62,83,14,20,0,13,1907,526,281,146,57548,9356,1142,111,369,96,773,123
15000 Arnold Drive ELDRIDGE CA 95431,CA4910202,"c(-122.5177685, 38.3485069)",06097150502,"Census Tract 1505.02, Sonoma County, California",1372,307,1014,258,8,16,15,33,50,45,0,13,284,197,1,2,123500,32764,564,109,396,90,168,101
4812 Esmar Rd Ceres CA 95307,CA5000051,"c(-120.9267211, 37.5677001)",06099003002,"Census Tract 30.02, Stanislaus County, California",7281,1251,5063,903,38,45,71,91,84,78,0,19,1040,448,985,957,52074,9895,2058,280,1142,220,916,264
4920 Faith Home Rd Ceres CA 95307,CA5000057,"c(-120.9201054, 37.5661901)",06099003002,"Census Tract 30.02, Stanislaus County, California",7281,1251,5063,903,38,45,71,91,84,78,0,19,1040,448,985,957,52074,9895,2058,280,1142,220,916,264
2048 E GRAYSON ROAD CERES CA 95307,CA5000077,"c(-120.9577958, 37.5656874)",06099003002,"Census Tract 30.02, Stanislaus County, California",7281,1251,5063,903,38,45,71,91,84,78,0,19,1040,448,985,957,52074,9895,2058,280,1142,220,916,264
5061 Nunes Rd. Turlock CA 95382,CA5000085,"c(-120.9003871, 37.5518177)",06099002901,"Census Tract 29.01, Stanislaus County, California",5125,708,4341,686,2,4,5,7,101,63,0,19,154,83,522,263,72798,10171,1719,170,1140,129,579,105
4124 W BARNHART ROAD TURLOCK CA 95382,CA5000086,"c(-120.8964072, 37.5437528)",06099003603,"Census Tract 36.03, Stanislaus County, California",3867,993,3525,926,0,13,0,13,33,37,0,13,188,221,121,143,49795,28705,1347,327,662,226,685,242
6643 Faith Home Rd Ceres CA 95307,CA5000217,"c(-120.92089, 37.5417268)",06099003603,"Census Tract 36.03, Stanislaus County, California",3867,993,3525,926,0,13,0,13,33,37,0,13,188,221,121,143,49795,28705,1347,327,662,226,685,242
136 WEBER AVE PATTERSON CA 95363,CA5000271,"c(-121.1268496, 37.4750077)",06099003201,"Census Tract 32.01, Stanislaus County, California",4853,622,3600,470,139,134,91,98,32,42,0,13,265,149,726,469,48040,6429,1411,156,813,138,598,128
3461 Roeding Rd Ceres CA 95307,CA5000308,"c(-120.9322329, 37.5880375)",06099003004,"Census Tract 30.04, Stanislaus County, California",3343,1770,2061,970,3,5,29,52,37,48,0,13,666,277,547,669,67067,35890,861,307,627,324,234,70
4043 Crows Landing Rd Modesto CA 95358,CA5000484,"c(-120.9960675, 37.5788452)",06099003100,"Census Tract 31, Stanislaus County, California",4178,830,3351,617,4,7,25,23,293,339,0,13,161,176,344,548,42500,24390,1224,197,468,118,756,221
5837 N GOLDEN STATE BLVD TURLOCK CA 95382,CA5000570,"c(-120.9005329, 37.5460312)",06099003603,"Census Tract 36.03, Stanislaus County, California",3867,993,3525,926,0,13,0,13,33,37,0,13,188,221,121,143,49795,28705,1347,327,662,226,685,242
2620 COLUSA HIGHWAY YUBA CITY CA 95993,CA5100176,"c(-121.6641582, 39.1403464)",06101050501,"Census Tract 505.01, Sutter County, California",6708,466,3273,389,179,139,125,85,2393,422,0,19,125,112,613,334,58864,7934,2126,178,1127,175,999,155
