"","PWS.ID","PWS.Name.x","Counties.Served.x","PWS.Type.2015","PWS.Name.y","PWS.Type","Counties.Served.y"
"394","CA2800061",NA,NA,NA,"HILLSIDE CHRISTIAN CENTER WATER SYSTEM","Transient non-community system","Napa"
"395","CA4500247",NA,NA,NA,"WEST COTTONWOOD APARTMENTS","Community water system","Shasta"
"396","CA1300549",NA,NA,NA,"IMPERIAL VALLEY COLLEGE","Non-Transient non-community system","Imperial"
"397","CA1200579",NA,NA,NA,"M.F. MITCHELL & COMPANY","Non-Transient non-community system","Humboldt"
"398","CA4901431",NA,NA,NA,"SARALEE 3575 SLUSSER ROAD","Transient non-community system","Sonoma"
"399","CA0500075",NA,NA,NA,"LAKESIDE MOBILE ESTATES","Community water system","Calaveras"
"400","CA4200977",NA,NA,NA,"RESOURCE CENTER","Non-Transient non-community system","Santa Barbara"
"401","CA5700617",NA,NA,NA,"MARIANI NUT COMPANY - BUCKEYE RD","Non-Transient non-community system","Yolo"
"402","CA3601082",NA,NA,NA,"CASTLE MOUNTAIN MINE","Non-Transient non-community system","San Bernardino"
"403","CA2300879",NA,NA,NA,"RAY'S STATION WINERY","Non-Transient non-community system","Mendocino"
"404","CA4901406",NA,NA,NA,"MACROSTIE WINERY AND VINEYARD","Transient non-community system","Sonoma"
"405","CA1000652",NA,NA,NA,"ARCO BRAWLEY AND HWY 180","Transient non-community system","Fresno"
"406","CA4000838",NA,NA,NA,"SIXMILEBRIDGE WINERY","Transient non-community system","San Luis Obispo"
"407","CA2900644",NA,NA,NA,"ANIMAL PLACE","Transient non-community system","Nevada"
"408","CA4200970",NA,NA,NA,"BRICK BARN ESTATE WINERY","Transient non-community system","Santa Barbara"
"409","CA1300635",NA,NA,NA,"CALENERGY (ADMINISTRATIVE)","Non-Transient non-community system","Imperial"
"410","CA1300642",NA,NA,NA,"CALENERGY (ENG. & TECH.)","Non-Transient non-community system","Imperial"
"411","CA1300637",NA,NA,NA,"CALENERGY (SALTON SEA UNIT NO III)","Non-Transient non-community system","Imperial"
